Partie,Joueur Gagnant,Nombres de coups,Durée
682,4,14,3.5
683,2,15,3.75
684,4,116,29.0
685,1,36,9.0
686,3,11,2.75
687,3,10,2.5
688,2,43,10.75
689,3,36,9.0
690,3,43,10.75
691,3,56,14.0
692,3,12,3.0
693,4,40,10.0
694,4,34,8.5
695,3,24,6.0
696,4,14,3.5
697,3,15,3.75
698,2,26,6.5
699,1,34,8.5
700,3,23,5.75
701,1,36,9.0
702,4,56,14.0
703,2,21,5.25
704,3,2,0.5
705,3,12,3.0
706,1,14,3.5
707,1,38,9.5
708,3,21,5.25
709,4,13,3.25
710,3,10,2.5
711,4,13,3.25
712,2,27,6.75
713,3,34,8.5
714,4,29,7.25
715,3,18,4.5
716,2,13,3.25
717,3,10,2.5
718,3,59,14.75
719,2,17,4.25
720,3,25,6.25
721,1,10,2.5
722,4,82,20.5
723,3,24,6.0
724,4,21,5.25
725,3,31,7.75
726,2,26,6.5
727,4,12,3.0
728,1,28,7.0
729,3,22,5.5
730,1,19,4.75
731,1,51,12.75
732,4,30,7.5
733,3,41,10.25
734,3,11,2.75
735,2,58,14.5
736,4,91,22.75
737,2,30,7.5
738,3,25,6.25
739,1,16,4.0
740,4,14,3.5
741,2,14,3.5
742,4,13,3.25
743,4,11,2.75
744,4,20,5.0
745,3,19,4.75
746,4,27,6.75
747,3,20,5.0
748,1,18,4.5
749,3,2,0.5
750,3,17,4.25
751,3,6,1.5
752,3,43,10.75
753,4,17,4.25
754,2,9,2.25
755,1,18,4.5
756,2,18,4.5
757,2,21,5.25
758,2,36,9.0
759,1,17,4.25
760,2,10,2.5
761,2,24,6.0
762,4,33,8.25
763,2,28,7.0
764,3,25,6.25
765,2,36,9.0
766,3,61,15.25
767,2,9,2.25
768,2,12,3.0
769,3,9,2.25
770,3,2,0.5
771,2,21,5.25
772,2,40,10.0
773,1,32,8.0
774,1,11,2.75
775,1,13,3.25
776,3,17,4.25
777,2,34,8.5
778,1,9,2.25
779,1,18,4.5
780,2,16,4.0
781,4,11,2.75
782,2,36,9.0
783,1,22,5.5
784,2,11,2.75
785,3,61,15.25
786,1,15,3.75
787,4,16,4.0
788,3,84,21.0
789,2,20,5.0
790,1,10,2.5
791,1,69,17.25
792,4,17,4.25
793,1,22,5.5
794,4,23,5.75
795,4,26,6.5
796,1,28,7.0
797,1,13,3.25
798,1,26,6.5
799,2,16,4.0
800,4,18,4.5
801,2,10,2.5
802,3,16,4.0
803,3,11,2.75
